"institution_id","name","proposal_id","fund_id","year_id","description","response_1","response_2","response_3"
"341","Desert","4069","3","2019","The Desert Regional Consortium has made a concerted effort to address gaps in service areas by continuing to increase course offerings in the allowable program areas, reducing student barriers to education, and enhancing and expanding student services. This has been accomplished through partnerships and leveraging of resources.  
Additionally, the consortium has initiated strategies to address workforce oriented professional development, career centers, job developers, contextualized learning, articulations, pilots for orientation, intake, assessments, counseling and career pathways. These strategies have included our partners in the region that also supply workforce training and services.  As a result, relationships are developing with potential partners so that MOUs have been formed to leverage resources with agencies such as, Trade Union Apprenticeships, DPSS, County WIB, VA, DA and Tribal Nations.  
The DRC commissioned Resource Development Associates to undertake the creation of a Strategic Plan to determine specific needs and where to allocate future funding, programs and classes in the Coachella Valley. Data from the RDA Plan identified that less than 20% of adults over the age of 25 who live in the Coachella Valley Unified School District (CVUSD) have attended college or obtained an AA degree or higher. About ¼ of adults over the age of 25 living in the DSUSD and PSUSD regions have some college, but no degree.
The RDA Plan validated that there is a large disparity in educational attainment among individuals who live in the (CVUSD) region compared to the rest of the region. DSUSD and PSUSD are closer to the County (20%) and State (18%) rates. The majority (79%) of residents in the CVUSD region speak Spanish. Whereas, many of residents of the DSUSD (62%) and PSUSD (60%) regions speak English.
These insights validate expenditures in the East valley and as more data emerges it will indicate where to concentrate additional funding.
AEBG allocations are managed by the Desert Regional Consortium and are used to maintain principals of inclusion, transparency, collaboration, and equality, while building capacity to develop and implement systemic approaches for adult learners to achieve their academic and career goals. The DRC is an incubator for not only exchanging ideas, working with external partnerships, leveraging resources between members to eliminate gaps, but as a collaborative, as members work with each other as true partners beyond DRC meetings.","All AEBG allocations are approved unanimously and managed by the Desert Regional Consortium. All members use Galaxy software to maintain funds and is audited annually. Allocations are used to maintain, develop and foster adult education programs which support a pathway to the workforce, military, and post-secondary education, as per the DRC Three-year plan. The programs include English as a Second Language, Citizenship, High School Diploma, General Educational Development (GED), short-term Career and Technical Education, Pre-Apprenticeship, and Jail Programs. The DRC uses AEBG labor force data, Coachella Valley workforce data, and DRC survey data provided by Resource Development Associates from its own commissioned strategic plan for adult education for establishing spending needs within consortium boundaries. To assist adults as they complete their diplomas, certificates and programs, DRC members have hired Pathway Counselors for seamless transitions to workforce entry, reentry or post-secondary education.","All AEBG funds from present and prior years are used to fund DRC adult education programs. If a member is unable to use all their funding, the DRC will meet to determine additional needs and to determine how to expend said funds to address any pending needs. MOUs are created between members after a unanimous vote for the expenditure of unused funds.","The Desert Regional Consortium will have calendared working and committee meetings, open to the public, for the creation of the new 3-Plan. The DRC will seek input from the public and DRC partners. Information will include data from its attendance systems, TOPSPro reports, labor market reports, and RDA results, which will be used to drive areas of need and instruction. 

The new three-year plan will have common data (TOPSPro) from all members to make standards based, data-driven, results oriented decisions. The DRC will also use its own commissioned strategic plan which validates and/or highlights areas for growth. "
"364","North Orange","4092","3","2019","Working together with all eight NOCRC Members and numerous Partners throughout the 2017-18 implementation year, NOCRC stayed true to its stated Regional Comprehensive Plan (RCP) vision of Rethinking and Redesigning Adult Education…Together.  
The ideas of innovation, integration, and seamless transition drove the AEBG implementation strategies in 2017 – 2018. By partnering with the Love & Logic Institute, the consortium added two new sets of curriculum, Love and Logic: Supporting Youth with Challenging Pasts ® (trauma-informed practices) and Love and Logic: Supporting Youth with Special Needs ®.  Once approved by the CCC State Chancellor’s Office, the curricula will be offered as noncredit apportionment courses thus releasing AEBG funds for other needs of the consortium. 
As NOCRC plans for the fourth implementation year, its members identified successful strategies to be continued or expanded, the strategies with great potential but requiring modification and new strategies to be piloted or fully implemented. For example, ESL Mentorship strategy at the Fullerton College will be replicated at the Cypress College. Additionally, DSS Workgroup is designing a peer mentorship program for students transitioning from K12 to community college. New Regional Workforce: Collaboration & Development strategy will create a framework to align WIOA, Strong Workforce, and NOCRC Regional plans. The previous Workforce Development and Career Pathways strategy will be integrated into the existing CTE: Program Development, Pathways, Outreach, & Student Support strategy to eliminate duplication of efforts and to provide holistic career services.    Based on the regional need for high school diploma or its equivalency, Basic Skills Workgroup approved a high school equivalency direct instruction strategy utilizing a cohort model combined with additional skill development outside the classroom. 
In the upcoming year, NOCRC will deploy a comprehensive outreach and marketing plan, to boost brand awareness and move the needle on enrollment and retention. The plan will commence with a consortium-wide retreat to evaluate current community needs and marketing efforts and then create long-term strategies that would ensure the broadest reach.  The findings from the marketing plan research, will inform the 3-year NOCRC planning.
In summary, NOCRC will continue to Rethink and Redesign Adult Education in the 2017-18 implementation year.

","NOCR followed the established practices when approving 18/19 AEP allocations. First, the Exec Committee reviewed strategies proposed by the workgroups comprised of all NOCRC member representatives for each AEP program area. The strategies are intended to ensure the implementation of the NOCRC 3-year RCP. A budget is developed for each proposed strategy with all expenses identified and delineated as personnel or operational costs. AEP yearly allocations consist of the approved budgets for each strategy.  Additionally, the Exec Committee reviews and approves Project Lead annual budget – consortium-wide expenses, such admin cost and lease. ","The carry-over funds will help support with the implementation of the new strategies,  NOCRC Exec Retreat and one-time event(s) for student, partners and the community.  The carry-over funds will help support the student learning experience by curriculum software update for a regional partner. ","NOCRC will engage all eight consortium members and many partners in planning for the next 3-year comprehensive adult education plan. To ensure that the plan addresses adult learner needs that are specific to our region, the consortium will hold an outreach retreat with the goal of increasing awareness of educational opportunities and services within the region and learning about the characteristics of our service recipients and their needs. 
In addition to the overarching State AEBG outcome measures, NOCRC took the initiative to develop local effectiveness measures. The comprehensive approach in collecting and analyzing effectiveness data by combining state-mandated and locally developed measures will allow NOCRC to perform an in-depth analysis of the regional needs and evaluation of the most fitting strategies to meet them.  NOCRC invested one-time data collection funds into the development of a customized data management tool to support local effectiveness measures. The expected completion date is December 2018. The tool will collect, store and report on data necessary to understand and evaluate the effectiveness of efforts undertaken by the Adult Education Block Grant (AEBG) consortium.  
Broad goals and specific strategies will be developed in accordance with the established NOCRC procedures.  Specifically, upon approval of the 3-year goals by the NOCRC Executive Committee, representative program area workgroups will drive the initial planning with the expectation that the planned strategies will address the regional needs, have measurable outcomes, and align with other major initiatives, such as WIOA, Strong Workforce, Student Success and Equity, and Guided Pathways. Subsequently, the 3-year goals and strategies will be vetted by the NOCRC community partners and, finally, approved by the NOCRC Executive Committee. 
Upon approval of the 3-year comprehensive plan, NOCRC will engage all its members in developing an AEBG program review cycle using state member effectiveness guidelines and other helpful tools.  To capitalize on the existing evaluator mechanisms to the best extent possible, AEBG program review cycle will be aligned with the program review systems of the members providing adult education services. 
"
"342","South Bay (El Camino)","4070","3","2019","MISSION
The South Bay Adult Education Consortium serves and empowers all students to meet their personal, educational and career goals.
 

 VISION
The vision of the South Bay Adult Education Consortium (SBAEC) is to help adult learners in the South Bay reach their potential through pathways to higher education and employment.
 
 
The consortium has continued to develop and strengthen the processes implemented in 2016-17. The focus of the SBAEC consortium has been on creating seamless transitions to support students as they progress on their pathway to higher education and employment. New classes have been designed and staff development has focused on classroom instruction to help prepare students for career and higher education. Career pathways are being created to accelerate students along their path. El Camino College (ECC) and the adult schools have worked cooperatively to create classes and help students transition between programs. Funds were spent on technology for all programs to assist with online registration, testing, classes, and improved instruction.
 

SELECTED 2017-18 ACCOMPLISHMENTS

1. Created and rolled out the implementation of career pathways in business, automotive technology, advanced manufacturing as well as early childhood education.

2.  Continued the work on articulated classes

3. Accelerated ESL learning by classes focused on specific learning outcomes in reading and writing.

4. Increased student access to technology and expanded the use of online classes.

5.  Provided professional development in College and Career Readiness standards(CCRS) and English Language Proficiency Standards (ELPs) for Adult Learners.

6. Improved data collection for consistency across the consortium.

7. Used student service centers to identify and enroll students in college and career pathways.

8. Held Career Fairs at the Adult schools for program awareness and transition support.

9. Expanded the partnership with the One Stops to provide greater outreach to the community.

10. Offered increase student supports to overcome adult education barriers to education.

11. Increased student transitions to the workforce and college.
 
GOALS FOR 2018-19

1. Improve awareness and leverage the resources of the Consortium.

2. Improve the seamlessness of students’ transition to post-secondary education and the workforce.

3. Maintain and improve internal and external communication.
","The uncertainty of the future funding makes it difficult to get permission to hire additional staff thus school districts are unwilling to expand programs without a guarantee of future funding. Attracting qualified instructors to adult education at adult schools. Lack of facilities at adult schools. ESL students are fearful of giving personal information which leads to decreased enrollment and difficulties in transitioning to College. ","The South Bay Adult Education Consortium remains committed to providing adult education classes to serve the greater South Bay community. We have been fiscally responsible with our funds to not only meet our current needs but to be able to continue providing ESL and ASE classes in the event of an economic downturn. Thus, the carryover in our budget. We are currently developing a plan to grow not only our ESL and ASE classes, but to add CTE and ABE classes, which are AEBG Program Areas.  
","The SBAEC consortium has begun a strategic planning process designed to bring a cohesive focus to the consortium. The strategic planning process is using an outside consultant to  meet with representatives from all consortium members, community, and other organizations to look at consortium strengths and weaknesses, as well as internal and external factors that affect services provided to the community.  Together the team developed three overarching goals with objectives and timelines to measure and monitor progress. The consortium board will monitor progress of goals and the entire team will meet in six months to evaluate progress and guide ongoing planning.   This strategic planning process will help guide the development of our three year plan.  
"
"390","South Bay (Southwestern)","4118","3","2019","Vision: The South Bay Adult Education Consortium/Southwestern is committed to an ongoing effort to strengthen and enhance adult learner access, persistence and success. Members offer well-aligned educational programs that provide the region's adults with equitable access to educational services that will prepare them for citizenship, for completion of a high school diploma or equivalent, to gain skills for high demand jobs, and to transition to postsecondary institutions and/or the workforce. Adult education includes programs designed specifically for adults with disabilities. 

Accomplishments of Prior Year:

-Members provided ongoing AEBG noncredit and adult education courses. 

-Marketing plan implementation included modifications to the consortium website, development of a Twitter and Instagram account, and continued delivery of a Facebook ad.

-SWC curriculum development resulted in over 20 new/revised courses and programs that will be offered to meet the needs of the community. Progress was made toward code alignment, needs assessment, the development of enhanced student services for noncredit students (assessment, orientation, education planning, and counseling), and toward the campus-wide effort to provide a noncredit ID card that allows noncredit students access to the following services: library, tutoring, Child Development Center childcare discounts, health services, Disabled Student Services, employment services, veteran services, student discounts in the community, and participation in student organizations.

SUHSD served over 10,400 adult students in an array of high-need areas: ESL, Citizenship, ABE, HSD/HSE, and CTE. SUHSD restructured the Professional Learning Community process to focus on professional development around creating formative assessments, promoting completions, and improving internal consistency of curriculum implementation. Two staff release days were devoted to accelerate transition to AEBG alignment division-wide.

Primary goals for the upcoming year:

To maintain/increase the number of students served consortium-wide, SWC may offer new noncredit AEBG courses at adult school facilities, libraries, etc., and SUHSD may offer new adult ed courses at SWC facilities. 

Student ed planning and goal setting will become an institutionalized process for all AEBG students.

Adults with disabilities will receive the appropriate service based on their individual need.

All planned allocations are consistent with the 3 year plan.

","The planned allocations for CUSD, SWC, and SUHSD for 18-19 are consistent with the annual adult education plan, which is based on our AEBG 3 year plan, in that all three members will continue to provide programs and services outlined in our 3 year plan, and are committed to realizing the strategies outlined in the 18-19 adult education plan.","We will focus remaining carryover funds at the consortium level for marketing and outreach activities including, but not limited to:
- Establishing a marketing and outreach plan with an emphasis on ESL students and Adults with Disabilities
- Setting up a consortium table at back to school nights at elementary, middle, high schools, and at adult student events such as Viva Vida
- Aligning catalog production schedules and/or co-print one consortium catalog
- Utilizing a job developer/outreach specialist to help students with career exploration, job placement, and internships

Remaining carryover funds from SWC and CUSD will be incorprated into member budgets and workplans for 18-19.

","A consortium-wide summit was held in Spring 2018 to foster further relationship building among members. A mix of faculty, teachers, counselors, administrators, and classified staff were in attendance. Recommendations were made that we will use to inform our next 3 year plan, and we have plans to make the summit an annual consortium event. We will brainstorm other stakeholders that should be in attendance of this annual event, including community partners.

Our current workgroup structure is curricular in nature and is organized by program area. We will discuss a possible restructure and broadening of workgroup participation in order to better align with the broader AEBG goals, and to better inform our marketing and outreach practices. 

We will also utilize the recommendations from the current AEBG field teams to inform our 3 year planning process. The overarching roadmap for strategic planning includes:
- Professional development around establishing a planning mindset
- Understanding where we are by mapping out our current capacity, resources, and environment 
- Immersion into identified areas for improvement using data resources and stakeholder input. This will include discussions around our consortium structure, governance, and shaping a definition for member effectiveness.
- Development of strategies and tactics to improve pathways and ultimately, student outcomes.

The upcoming strategic planning process will be different than the original process that occurred over 3 years ago in that we will be able to leverage the relationships that we have built over the past few years to better create concrete outcomes for our collective students. "
"374","San Bernardino","4102","3","2019","In keeping with the Collective Impact approach of having the region work together, the Inland Adult Education Consortium (IAEC) has kept the spirit of collaboration central in all decision making. The Regional Comprehensive Plan serves as a foundational plan for the Consortium toward the realization of the vision and goals keeping in alignment with the county’s vision of working together to create regional stability among adult education service providers. By partnering with community service providers including businesses, government and CBOs, the Consortium continues to work toward creating a comprehensive regional approach for students by providing tools and support for their progression along their educational career pathways.


The Consortium implementation of services during the 2017-18 program year was based on refinements to the Regional Comprehensive Plan, data from Member Districts, LMI data, and strategies designed to directly impact the unmet academic needs of adult learners living within the region. The Consortium leadership chose three priority areas for the 2017-18 program year, with the goal of addressing the largest gaps in program area offerings to adult students. The three priority areas were High School Diploma/High School Equivalency, Basic Skills and English as a Second Language. The Community College District continued successful programs that were previously piloted for non-credit basic skills math. In addition, counselor/transition specialists were hired to assist in transitioning students from both non-credit to credit coursework at the college and work with each Adult School to transition students to postsecondary pathways.


In the 2018-19 fiscal year, IAEC will embrace the opportunities to work regionally on the assessment and placement of students, use of student data in program design, address further gaps in services, and identify ways to support accelerated learning programs for students' academic pathways and/or career goals. IAEC will also expand the offerings of CTE courses across the region. The region will work together on continuing the implementation of a Consortium-wide professional development calendar and build additional relationships with more community partners to better leverage existing resources.
","IAEC Board Members engage in ongoing data, program, and budget analysis to ensure continuous improvement among all Consortium Members and that decisions align to both the AEP Objectives and the AEP Program Areas, and to ensure that all funded initiatives align to the approved Three-Year Plan.","IAEC Member Districts participate in regularly scheduled Steering Committee meetings to examine budgetary needs and make recommendations to the Executive Board. Program Area Hubs also meet to discuss the program aspects of implementing the Annual Plan. The Executive Board reviews recommendations and votes on the spending of unallocated funds in accordance with AEP Allowable Uses Guidelines. ","The IAEC Executive Board holds regular meetings to analyze and discuss student data, regional LMI shifts and emergent trends, and issues being faced by the staff at each Member's sites. These discussion inform the decisions for funding allocation, new program development, and pilot initiatives. Work on the 2019-2022 Three-Year Plan has commenced, and will be an ongoing process throughout the current fiscal year. "
"351","Lake Tahoe","4079","3","2019","In 2018-19 we plan to continue expanding opportunities for adult learners in our region by broadening access to career and technical education programs for adults through the use of the facilities at LTUSD in collaboration with the other members of the consortium to include focus on skilled jobs in the basin such as auto/diesel mechanics, additional culinary offerings, and explore construction and small engine repair. We will continue to increase our ability to ""transport"" these offerings to Alpine County to reduce the travel burden of residents, including members of the Washoe tribal community. This expansion of CTE services will also support adults working toward a high school credential by offering more opportunity for relevant learning that not only has value toward HS completion but provides career ready job skills. At the post-secondary level, efforts will continue to broaden access for non-traditional students, including explicit outreach around the Tahoe Promise program (first time, full-time tuition free year) as well as expand offerings on the ETPL, increase pre-apprenticeship engagement (while establishing a registered culinary apprenticeship with the State), and expand offerings and support for ESL and basic skills students.","We continue to build budget (and fiscal management)  using a needs and outcomes based approach. All members continue to improve identifying program work and goals prior to allocation and budgeting.","We will continue to use carry forward funds for one-time (or pilot) expenses so that we do not risk creating a ""false"" operating budget. In addition, all members are relooking their own needs as we prepare for the next 3-year plan.","One of the key strategies for the upcoming 3-year planning process is to more deeply, and officially, engage our network partners. Industry continues to play a key role in our work and formalizing those relationships - e.g., closer connection to the Chamber in the form of an MOA, and the creation of pre-/registered apprenticeship proposals with key hospitality properties have made it clear that not only are these partners critical, but have demonstrated ongoing commitment to our work. Determining how we might expand/evolve governance to include a ""voting"" seat at the table is one of the areas that the network wants to focus on during the planning process. In addition, the four key areas listed below have also been identified as critical to the continued growth and efficacy of the network here in South lake and Alpine County:

1. Increase Understanding to Strengthen the Network - Achieve better knowledge of resources, increase internal engagement, and build relationships through increased communication.

2. Tangible Outcomes - Continue to build a clear, connected pathway for network partners and participants to improve their lives and our community.

3. Addressing Special Populations (Equity, Access, Universal Design) - Explore, acknowledge, and build upon the client's unique strengths and needs to enhance their quality of life.

4. Expand Employer Facing Inititiatives"
"361","Mt. San Antonio","4089","3","2019","Serving nearly 42,000 students in 2017-18, Mt. SAC Regional Consortium is bounded by the service area of Mt. San Antonio College. The members include Baldwin Park Adult and Community Education, Bassett Adult School, Charter Oak Adult School, Tri-Community Adult School (Covina-Valley USD), East San Gabriel Valley Regional Occupational Program, Hacienda La Puente Adult Education, Mt. San Antonio College – School of Continuing Education, Pomona Adult School, and Rowland Adult and Community Education. Completing the third year of the initial 3-year planning cycle, the consortium is on a confident path for our primary vision of aligning services, leveraging resources, transitioning students to employment and post-secondary institutions, and accelerating progress of adult students. 
The key goals of the 3-year plan are:  Program Growth, College and Career Pathways, Course Affordability, Expanded Course Schedules, Online and Distance Learning, and Improved Student Services.  
Over the past three years, progress has been made towards these goals. For the first two years, the perception that adult education allocations were considered a “grant” and not ongoing funding affected some schools’ ability to staff operations and deliver services. We have made strides in the areas of data collection and reporting, post-secondary pathway transitions, and placement with state employment agencies and partners. 
2017-18 Progress: 
Major regional needs identified in the 2017-18 plan focused on addressing the regional gaps in the core educational areas of English as a Second Language, Adult Basic/Secondary Education, Career Technical Education, and Adults with Disabilities population. Work groups are established in these service areas along with Counseling Student Support Services, Adults Training for Child School Success, and Data Accountability. The goal of moving students along established pathways is also under planning and development in the respective work groups along with addressing student barriers.
Primary Goals for 2018-19: 
Consistent with the current 3-year plan, the Consortium will continue to focus on the goals and activities outlined in the 2017-18 plan, noting that some campuses have already reached program capacity with existing funds. Continued focus will be on:
Staff professional development related to instructional improvement, Student acceleration, transitions to post-secondary and employment, Student outcomes, Data collection, and Member Effectiveness.","The planned allocations are consistent with this annual plan as funds are focused on the continued delivery of adult education to the students in need of our region. The majority of students entering our programs based on verified levels of literacy, lack of secondary diploma or equivalency, lack of sustainable employment or income, or related factors are the target seven mandated service populations of the California Adult Education program. The 3-year plan identified Program Growth, College and Career Pathways, Course Affordability, Expanded Course Schedules, Online and Distance Learning, and Improved Student Services as plan goals. Those are all, and continue to be, in progress. ","In addition to holding an amount in reserve, members will be encouraged to use carry-over funds to support one -time use activities including, limited target instructional projects. upgrading or repair of facilities, equipment or technology. Many lack upgraded signage and it is suggested schools purchase digital and/or upgraded permanent school identification. Supporting staff participation in related professional development, hosting collaborative partner events, promotional marketing campaigns are also options. Members may also consider mini-grants to organizations providing leveraged unique partnerships.","Organizing and developing the new 3-year plan will be include focus on alignment to local workforce development plans for the region as well as other major related state initiatives. We are reviewing the goals from the last 3 year plan to gauge which are still relevant moving forward. A cross-section of staff from member schools will collaborate with local partners and stakeholders to review community and workforce projection data and actively engage in the planning process. "
"393","Victor Valley","4121","3","2019","Consistent with the Three Year Plan Submitted in March of 2015, the VVAERC continues to implement a multi-layered, multi-year approach to streamline assessments and curriculum between the K-12 systems, and to enhance, restore, and institute additional Adult Education Programs across all member districts. The Three Year Plan continues to serve as the foundation for the development and implementation of the Regional Consortium’s 2018-19 Annual Plan, vision, and goal to stabilize and improve adult education services in the region. The VVAERC will seize the momentum backing workforce preparation programs and harnesses the passion of local school administrators to turn attention toward adults needing  basic and secondary education skills, Adults with Disabilities, and those who would benefit from ESL programs to tie into a road-map for employment success. 
In 2017-18, the VVAERC's rural member district reestablished adult education instructional services. Member Districts with established Adult Education Programs expanded capacity and increasing CTE course offerings. 
In the 2018-19 program year, the VVAERC will focus on addressing gaps in service and seamless transition while striving to strengthen the relationship with community partners in order to leverage existing resources. Counseling services will continue to be provided by Victor Valley College to each Member district in facilitating the transition from adult school to community college and/or the workforce. VVAERC envisions providing a focused transition service plan, region wide, as a measurable initiative, where by administrators will be able to track student success to a greater extent than is now possible. VVAERC commits to exploring options to increase the rigor and credibility of all programs across the Consortium.
HSE/HSE and ESL services and additional NRS levels have been expanded across member districts. Integration of ESL strategies into ABE/ASE/HSE/HSD curriculum will afford a streamlined instructional approach. Three member districts were newly awarded WIOA II grant funds during the 2017-19. College CTE courses have been articulated to include adult schools and will be offered at select sites in the 2018-19 year. VVAERC hosted the first annual joint Adult Education Commencement Ceremony at VVC where all districts participated. Member Districts participated in the shared delivery of professional development across the seven program areas with other consortia in the San Bernardino region. ","VVAERC will engage members in the ongoing analysis of program data, outcomes, and budget reports to ensure that allocations and Annual Plan strategies are consistent with both the AEP Objectives & Program Areas and the consortium's approved Three-Year Plan.","Member Districts participate in meetings to examine budgetary and regional needs and make recommendations to the Executive Board. The Fiscal Agent will continue to manage the spend-down and budget expenditure reporting of: (1) 2016-17 AEP Allocations (due to expire on December 31, 2018) (2) Data & Accountability Fund (due to expire on December 31, 2018) (3) 2017-18 AEP Allocations (due to expire on December 31, 2019).","VVAERC Members engage in ongoing analyses to identify gaps in services and adjust programs in order to support career and academic pathways leading to increased wages and/or transitions to post-secondary institutions. During the 2018-19 FY, VVAERC will analyze regional WDB and regional LMI data and identify long-term trends in high-growth sectors to guide the consortium's planning for the next three year cycle. Planning sessions with the working group and executive board are being scheduled to collaboratively guide the development of the new Three-Year Plan.
"
"331","Butte-Glenn","4059","3","2019","The Butte Glenn Adult Education Consortium helps adults learn the basic academic and work readiness skills needed to become employed and increase their career opportunities.  Through our network of participating school districts, educational providers, workforce development, and human services organizations, we connect adults in Butte and Glenn Counties to educational programs that meet employer needs, enabling our students and our region to grow and thrive.  During the 16-17 fiscal year the consortium grew its ABE, ASE, Basic Skills and ESL offerings to under-served location by opening a new location in Chico, CA and expanding it's HSD/GED program in Paradise, CA.  The consortium grew its shorter term CTE offerings to include construction pre-apprenticeship, forklift training, and expand health occupations, all leading to jobs for students.  In 17-18 and now 18-19 the consortium will continue to maintain the growth markets that it implemented on inception of the consortium.  


 


 


 


 


 


 

","The AEBG 3 -year plan added new program sites and faculty to expand courses.  These are ongoing costs and will be funded with 18-19 planned allocations.  Any additional funds generated through the COLA that are not immediately absorbed by site COLA will be invested in program growth in the allowable AEBG service areas.","Carry-over funds not already encumbered will be used to market regional programs and support existing programs that align with AEBG regional plan.","The Butte Glenn Adult Ed consortium will leverage existing 18-19 quarterly meetings to organize and plan for the next 3-year plan in May/June of 2019.  If by the March meeting it is determined that additional time is needed to plan, a special meeting will be added to the calendar (open to the public) to complete the planning process.  If additional/current data is needed to support the planning process the consortium will look to the WDB and Regional Strong Workforce plans to provide data.  The consortium will also review any supporting documentation (ie. regional demographic sheets) provided by the CCCCO."
"345","Gavilan","4073","3","2019","ACES vision is for consortium member agencies to work in sync with one another to provide adult education instruction and services in accordance with the evolving needs of our service area.  Services will target communities that are traditionally underserved.  Students entering the adult education system will be welcomed, supported and will move seamlessly through educational, training, and career placement opportunities.  
The consortium accomplishments included: 
Providing previously unavailable services in enrollment, counseling, learning disability intakes, assessment/data, and childcare.
Development of map and marketing materials for the vocational pathways for students from HS to CC.  
Dramatic increase (from 5%-26%) in student transitions from community to college ESL.
For professional development, several day long mental health workshops, a 3 day professional development symposium, a first super-regional professional development day, and biannual lesson sharing events were offered. 
Established partnerships to develop and offer new training classes and provide classes for students transitioning out of county jail. 
Consortium goals 18/19:
•	Conduct more intensive-targeted marketing to reach underserved populations.
•	Increase vocational training and programs. 
•	Procure another fulltime counseling position for a consortium member
•	Implement in-reach marketing for K-12 vocational students.  
•	Provide mental health support for Morgan Hill Adult Education students
•	Develop a system for securing accommodations for learning disabled student taking the HiSet.  
•	Conduct regular meetings with consortium staff who provide student support. 
•	Organize regular meetings for all consortium counselors 
•	Redesign ESL curriculum to further accelerate students through developmental sequence.  
•	Map and make systematic the offering of student support services throughout the ESL course sequence.  
•	Provide Math bootcamps at the Morgan Hill Adult School and explore possible collaboration of lower level Math classes at the adult school.  
•	Provide professional development opportunities across the consortium and in tandem with the super region.  
•	Promote development and expansion of jail course offerings and presence at the transition center to accelerate learning and to transition students effectively and efficiently. 

 These goals take into account roles and activities that have been ongoing and that are logical extensions of current practices.

 
 
    ","Planned allocations in the following areas will extend the work of the prior 3 year plan:
Disability services: testing and assistance with HISet accommodations, and providing additional services to ESL students.  
Vocational programming: Development of new collaborations and programs in high need areas.
Distance education: Consortium members will review and select new online instructional programs and MH Adult will offer open lab using career exploration tools.
Whole student services: Offering mental health services at MH adult, and counseling services at all agencies.  
Addressing gaps in services: A marketing campaign will target Spanish-speaking residents without HS diplomas.  
HS diploma testing: Offering additional testing sites across the region.  
Seamless pathways: Regular meetings will occur with administrative leaders and counselors/advisers which will assist with articulation and student transitions.  
Acceleration: Math immersion boot camps will be offered and the Gavilan ESL course sequence will be compressed.
Academic support: More systematic embedded academic support will be developed for students in the ESL course sequence.  
Professional Development: In addition to the extensive professional development currently provided, a new technology workshop will be offered along with new training for those who work with incarcerated students.  
Leveraging: Continue to work with partners including an increased presence at county workforce development agencies and county corrections.  Increase partnerships with local business to develop and offer training programs.   

","As done previously, the consortium plans to use rollover funds for one-time expenditures such as travel/conference, instructional supplies, and curriculum and program development.  They will also be used for an intense marketing campaign.","The consortium has begun its planning process. Members reviewed the original three year plan and discussed how to accomplish unmet objectives and how to further the gains already achieved .  Members brainstormed new areas of need.  In this next phase, member performance and evaluation will be reviewed; labor market and demographic data will be analyzed to identify areas of need as well.  The planning process will be different in that partnerships and relationships have provided a foundation for our collaboration.  Members are more familiar with  the work of one another, so the new plan will be able to dig deeper into services and solutions for students."
