"description","rationale_1","rationale_2","rationale_3","rationale_4"
"This regional collaborative proposes an evidence-based system for increasing STEM and CTE teacher preparation to meet the in-demand jobs, and address shortages in the field of education. ","STEM, CTE and related teacher demand for K-12, and community colleges. The project activities and outcomes fill a need that is currently not addressed with a Deputy Sector Navigator for Education. ","CCSF and Cabrillo College will partner on leadership to work across the Bay Region community colleges with a framework to promote teaching as a profession, support on ramps to STEM and CTE K12, and community college teaching. Furthermore, no career pathway in the state will succeed without a robust teacher workforce.","Connecting adults to courses leading to teacher certification and degrees; Develop and broadly publicize industry-informed career pathways that prepare students for jobs needed within the regional labor market.","California is in the midst of a well-documented severe teacher shortage; additionally, most community colleges and school districts are experiencing a shortage of CTE teachers. This project will engage with strategies to ""grow your own"" CTE faculty. This regional collaborative builds on the statewide CCCCO supported Teacher Preparation Pipeline STEM/CTE Collaborative of ten community colleges, including CCSF and Cabrillo College in the Bay Area. This project will implement the proven approaches from the statewide pilot to focus on the Bay Region. Other regions are proposing similar projects with their regional SWP funds."
"The proposal would create a dynamic entrepreneurial certificate program in partnership with other entrepreneurial organizations and three partner colleges. According to the Northern California Small Business Development Center, small business start-ups in the greater Sacramento area, and especially Placer County, are expected to increase 10-22% for the 5-year period 2014-2019. Additionally, existing small businesses are projected to expand, and thus their need for qualified employees, during the same period by approximately 15%. Further, according to Burning-Glass labor market studies, the demand for students with small business management skills will increase 18% in Placer County in the next 2-3 years.  During that same period, minority businesses are expected to increase 18% in Placer County. This proposal will prepare students for these business development opportunities.","Nearly every community college in California provides coursework or program offerings to support entrepreneurs and small business owners. However, there are potential gaps or opportunities to supplement curricular offerings for these individuals
Based on research conducted for this report, the following action steps are recommended for California Community Colleges: • Work with Business and Entrepreneurship Centers (BEC) to facilitate creation of industry cluster-based entrepreneurial networks • Develop entrepreneurship programs based on regional industries • Adapt curriculum and course offerings to reflect both small business ownership and entrepreneurs • Offer specialized entrepreneurial coursework • Course offerings should include local, state, and national policy regarding entrepreneurial efforts.
","Doing What Matters identifies small business is one of the top sector priorities http://doingwhatmatters.cccco.edu/. Small business is also one of the three priority sectors in the Greater Sacramento Region.
Data on employment opportunities do not adequately address small business and entrepreneurship because entrepreneurs are creating jobs, not applying for jobs. Studies on Home-Based Businesses for the Sacramento Region and the Far North Region were produced by the Centers of Excellence of the California Community Colleges (Far North Report) and Economic and Workforce Development office of the California Community College as part of Doing What Matters for Jobs and the Economy. Home-based businesses are defined as employing four or fewer workers. In the Sacramento Region there are 10,430 home-based businesses and one out of three of these businesses earns revenues higher than $500,000 annually. These home-based businesses are about 10.5% of all businesses in the area and 16% of the microbusiness. In the Far North Region, there are 6,940 home based businesses and nearly 30% of these businesses earn revenues higher than $500,000 annually. There are nearly 7,000 home-based businesses in the Fa North economy, which represents about 12% of all businesses and 18% of micro-businesses in the area.   

According to the Centers of Excellence study, to address the skills gap in the Far North Region, local community colleges can implement the following: • Integrate workplace skill training into existing career and technical education (CTE) programs and/or add workplace skill courses to CTE programs as a requirement or prerequisite. • Strengthen partnerships with local businesses to increase the number of internships or job training opportunities to students. Work experience gives students an edge in the hiring process by giving them the experience needed to demonstrate technical skills. It also gives students a chance to practice and apply soft skills learned in the classroom in the work environment. • Create and promote a mechanism that connects community college graduates with local small businesses that have open positions, such as a job board, career fairs, or direct announcements targeting specific industry groups. • Offer and promote free or low-cost workshops or training seminars for the incumbent workforce to raise skills of ‘poor performers’ and those interested in advancing in their careers. Topics of most interest to local employers include: accounting/QuickBooks, social media/online ecommerce, and business plan development. Other workshops of interest include: customer service, basic computer applications (MS Word, Excel & Outlook), leadership and supervisory skills, and human resource management
","
The proposed entrepreneurship program will offer a 21-unit interdisciplinary degree with a focus on social entrepreneurship requiring units from the entrepreneur's interest areas or discipline. A 9-unit skills certificate will provide students practical skills to establish a small business and provides a stackable certificate should the student decide to acquire further entrepreneurial skills and knowledge. This certificate provides foundational business skills for entrepreneurs in any discipline---from photographers, music artists, fashion designers, childcare providers, personal trainers, agriculture, nutritionists to contractors in construction, the educational path is flexible and customizable to fit students’ needs.
This new entrepreneurship program provides students with classroom learning mixed with apprenticeships and internships to help them launch new ventures. The program offers a robust core of business classes for those interested in starting a business with an opportunity to focus on managing capital. We also want students leaving this program to have a solid understanding of accounting practices for their enterprise.
An exciting component of this new program includes courses to help students identify and design sustainable, socially-minded business opportunities. It is our goal to have students leave this program with an understanding
","This proposal creates an Interdisciplinary 21-Unit Certificate of Achievement. Support for developing the program at each participating college will be provided. In addition, this program will provide a faculty Coordinator position to assist with:
•	Developing new for-credit curriculum.
•	Sharing this new innovative program across the region starting with Yuba and Woodland Colleges.  Additional colleges in the North are welcome to participate. This process would then create a standardized Interdisciplinary Entrepreneurship Program that could be offered throughout NFN.
•	Work with the American River College Global Trade program to incorporate this sector into the entrepreneurship/small business pathway.
•	Connecting with regional makerspaces, incubators, and accelerators.  This allows for connection to industry, curriculum relevancy, internship/mentorship opportunities, training for faculty, and access to CTE advisory members.
•	Sharing information about how to develop makerspaces.
•	Working with Equity Deans at Sierra, Yuba and Woodland Colleges to focus on minority and women entrepreneurial students.
•	Developing regional resources.
Interdisciplinary Entrepreneurship 21-Unit Certificate of Achievement
15 Units Required Core:
•	Intro to Entrepreneurship 
•	Accounting for Entrepreneurs 
•	Business Communication 
•	Marketing/Social Media 
•	Social Entrepreneurship 
3-6 units of Business Electives or Interdisciplinary Coursework:
•	Selling
•	Retailing
•	Human Resource Management
•	Planning, Financing and Operating a Small Business 
•	QuickBooks
•	Customer Service Skills
•	Project Management
•	1-3 units in a specific Discipline
•	Independent Study*
•	Internship/Mentorship/Apprenticeship*
•	Adobe Kickbox.edu
*Course can include work with a makerspace, incubator, accelerator
Interdisciplinary Business Entrepreneurship 9-Unit Skills Certificate:
•	Intro to Entrepreneurship
•	Independent Study*
•	Internship/Mentorship/Apprenticeship*
•	Adobe Kickbox.edu
*Course can include work with a makerspace, incubator, accelerator
"
"Maker spaces add value to career and technical education programs by providing students a venue to image, create, experiment, and connect what they’ve been learning in the classroom to tangible business products and ideas.  These formative learning labs open the doors to personalized and authentic learning. With access to technology to create and make, students develop enhanced problem solving skills, self-direction, design skills, mechanical aptitude, and entrepreneurial skills.  In the first year, the Strong Workforce Program funds will be used to support the development of a maker space at each Los Rios college.","Based on research conducted by Valley Vision and the Northern California Center of Excellence, local employers in the manufacturing/processing sector prefer to hire graduates with practical knowledge and hands-on experience.  While theory is essential, the best hires are those with mechanical aptitude and design/production skills.  ","This proposal meets the needs of the region's labor market by better preparing students for careers in the advanced manufacturing sector.  Students that have an opportunity to learn design thinking through practical, hands-on learning are better equipped for the evolving nature of the manufacturing sector.","By providing a venue to incorporate theory with hands-on learning, students will gain skills that will better prepare them for the workforce, such as problem solving, self-direction, mechanical aptitude, and process/flow models.","Maker spaces improve the delivery of instruction in a variety of CTE programs (design technology, engineering, welding, entrepreneurship, business management, etc.).  This closely aligns to the region’s goal to ‘align college programs with regional and industry needs and provide support of CTE programs.’"
"There is a shortage of specialty Registered Nurses as the priority workforce need. Specialty nurses does exist and prioritized seven areas, with hiring projections over the next year as follows: Critical Care: 2,320; Emergency: 1,392; Perioperative: 1,072; Labor & Delivery: 864; Neonatal ICU: 688; Case Manager, Care Coordinator and Mental Health: growing. ","This proposal will address the projected shortage of specialty Registered Nurses as the priority workforce need.","Yes, with the information from a statewide and local needs assessment employers are sharing the need for these specialty nurses in the industry. ","Yes, per the The California Hospital Association (CHA) and Hospital Association of Southern California (HASC) they have identified the shortage of specialty Registered Nurses as the priority workforce need.","Health is a priority in the SCCRC region and will continue to remain a priority. With the increase age of the nurse and those projected to retire, there will be a need for specialized trained nurses to fill this gap and service the safety net. "
"The goal of this project is to improve the quantity and quality of clinical placement sites for all of the health programs in the region. It is proposed that the region hire a regional clinical placement developer who can assist the healthcare programs in the region with identifying and acquiring clinical sites for student placements. Finding clinical placements is a time intensive job for the faculty and assistance from someone working on a regional level with all of the healthcare facilities would be beneficial.  In addition, industry is asking us to increase our student enrollment in particular healthcare programs which would be an added burden on the faculty already trying to do this job.   We cannot increase student enrollment in health care programs unless we have the additional clinical spaces for our students.  The priority for the regional clinical placement coordinator will be to work regionally with our industry partners to obtain these additional placements.","This proposal addresses the barrier of not having clinical placements when we want to increase enrollment in certain health programs. ","In healthcare there is a need to increase enrollments in several health programs across the North Region.  The largest barrier to increasing enrollment is the lack of clinical placements and the amount of effort it takes by the program coordinator to acquire commitments from clinical sites for placements.  By doing this on a regional basis we can have one person developing relationships with industry for each of the colleges and acquiring clinical placements.  In particular, there is currently a need for more medical assistants.  We cannot increase the number of students in our medical assisting programs unless we have the clinical sites to place the students.  The clinical placement developer will work on obtaining these sites.  ","The clinical placement developer will work with the identified health programs in the region to acquire commitments for clinical placements from our industry partners.","The Health DSN convened a regional meeting in June 2016 that included Deans and Vice Presidents of Instruction.  The purpose of the meeting was to review the Labor Market Info developed by the COE in their Health Cluster Report and develop strategies to meet the labor market needs.  This position was identified by the group as their top priority/strategy."
"A partnership with West Kern Adult Education Network (WKAEN) to develop a collaborative approach to workforce skill-building. 

Drivers include: A focus on understanding and meeting the needs within West Kern District as much as possible, and creating a measurable, operational plan for Access.

Outcomes:
A. Strong Workforce data to capture 
     1. Employment successes 
     2. Career advancement
B. Certification, GED, completions
C. Academic outcomes for students who go on to further education.","This proposal addresses the need to increase the number of program completers on jobs by the 2nd and 4th quarters after completing a certificate program.","This proposal will coordinate efforts with the West Kern Adult Education Network to focus on a few of the top ten occupations labor market projections in Personal Care Aides and Food Preparation/Server. 
http://www.labormarketinfo.edd.ca.gov/file/occproj/cal$occnarr-2015-2017.pdf  ","The AEBG Workforce Training Partnership will focus on increasing the employment. These occupations do not require a high school equivalency which will provide much needed employment preparation for 25% of the adult population in this region who lack a high school education. 
The Personal Care Aide standards-based curriculum was specifically designed for readers with lower literacy levels, or for trainees for whom English is a second language. The course will be used as a stand-alone certificate program but offer clear pathways to additional levels of medical training and higher education. 
The Food Preparation / Server curriculum is being developed but will be tailored to literacy levels as well. Neither program require a formal educational certificate or diploma.  ","This proposal have been a result of communication and coordination between Taft College, West Kern Adult Education Network and Taft Union High School CTEC programs. Instructors will be obtained by integrating industry professionals. In order to track workforce progress and outcomes across institutions and programs, students will be issued a Taft College ID card. Student informational materials will be developed and distributed to educate students as to industry-informed career pathways that prepare students for jobs needed within the region's market. "
"The purpose of this project is to develop a Physical Therapy Assistant program available for the North Far North area of California.  This program will offer an Associate Degree in Science.  Physical Therapy Assistants (PTAs) are licensed health care providers who provide physical therapy services under the supervision of a Physical Therapist. PTAs work in a variety of settings such as skilled nursing facilities, hospitals, outpatient therapy practices, home health, and specialty settings. Upon completion of the program, students will be prepared for careers as a Physical Therapy Assistant and will be eligible to apply for licensure through the Physical Therapy Board of California.
The closest Physical Therapy Assistant program is at Sacramento City College.  
Physical Therapy facilities in the North Far North report difficulty in recruiting for Physical Therapy Assistants.  Although there are potential employees who are interested, it is either difficult to get to an approved program due to distance and length of program, or that those who do attend find employment in the Sacramento area and do not apply for the rural area positions that are open.
The Shasta College Community Education Department just completed their first Physical Therapy Aide class. There was overwhelming interest from the community. The class was prepared by Jim Earle, owning partner of North State Physical Therapy.  Mr. Earle is very interested in developing a Physical Therapy Assistant program with Shasta College.  According to his colleagues in the field, it is difficult to find qualified PTAs in the area. Often practices must hire and train their own PTAs, which is time consuming. The general feedback from the physical therapy community is that it would be supportive of a PTA program offered by Shasta College with other North Far North colleges for the purpose of serving this community’s needs.
Mendocino College has been approached by a network of five (5) acute care hospitals to provide a Physical Therapy Assistant program to meet their needs for recruitment/employment of Physical Therapy Assistants. 
The plan is to provide didactic instruction through an online format with the participating colleges utilizing the same CCCCO approved curriculum and then partner with local healthcare physical therapy facilities for the clinical component.  
Student enrollment would be based on enrolling only one cohort of students annually.  The intention is to balance the enrollment with the employment need at the participating employers and the ability of graduates to find employment locally.  Shasta College anticipates enrolling an annual cohort of 15 students.  Mendocino will also plan to enroll a cohort of 15 – 20 depending on the network hospital employment needs.
Very much like traditional nursing training, this program will establish clinical affiliation agreements with the local industry healthcare employers to provide the clinical component of training.  The physical therapy industry will partner with the colleges by offering their facilities and designated staff for the clinical training portion of the physical therapy program.  Jim Earle, MPT, the physical therapist who developed the physical therapy aide program for Shasta College Community Education, has agreed to partner with Shasta College to develop the physical therapy assistant program as well as provide a clinical setting for the clinical training portion of the program. He is confident that additional physical therapy offices will partner as well.  Physical therapists see the partnership as a means to fulfill a community need as well as an opportunity for them to recruit physical therapy assistants. 
Our healthcare industry partners will be our advisors on the current issues and trends affecting Physical Therapy Assistants.  These industry partners will provide clinical placements; provide preceptor staff members to mentor the student interns and hire graduates.   In addition, they will serve on the Advisory Committees and co-sponsor activities that will promote career opportunities in our Career Pathways efforts with local High School partners.
","The Shasta College Community Education Department just completed their first physical therapy aide class. There was overwhelming interest from the community. The class was prepared by Jim Earle MPT, owning partner of North State Physical Therapy. Mr. Earle is very interested in developing a Physical Therapy Assistant program with Shasta College. According to him and his colleagues in the field, it is difficult to find qualified PTAs in the area. Often practices must hire and train their own PTAs, which is time consuming. The general feedback from the physical therapy community is that it would be supportive of a PTA program offered by Shasta College.
Mendocino College has been approached by a five (5) hospital system requesting that the college provide a Physical Therapy Assistant program that would provide training in their facilities and be an employment pool for their physical therapy employment needs.","According to the Physical Therapy Assistants Research Brief, Northern California (2013) in the Northern California region the physical therapy assistant occupation is projected to grow by 18 percent through 2017. In addition, it is estimated that employers will need to replace approximately 35 workers over the period due to retirements and those leaving the field for other reasons. With both growth and replacements considered, this could result in 23 open positions annually","The colleges involved in this project are proposing to provide a Physical Therapy Assistant Associate Degree program for students in the North Far North region partnering with health care facilities who are in need of PTAs.  The colleges will develop and provide the course content, establish accreditation with the appropriate regulatory agencies. The physical therapy employers will provide the clinical facilities and experiences the students will need to complete the program.  This program will provide the necessary skills for local residents to be employed as Physical Therapy 
Assistants in the local areas in which they are trained.  By training in the facilities in their local areas, we will provide the local healthcare employers with access to needed applicants for open positions.  Students will be able to be trained without having to relocate.
This program will allow local residents to complete an Associate Degree in Physical Therapy Assistant and be eligible to apply for licensure as an Physical Therapy Assistant.  The program will have a goal of having a completion rate of 80%. ","This program will provide another career pathway for residents of our communities.  Health is one of the largest growing industries in the Far North area and as such there is an emphasis on developing training programs that will allow opportunities for our residents to increase their wage opportunities (NORTEC Regional Labor Market Profile and Industry/Sector Analysis Draft, August, 2016).  In addition, health is one of the sectors that is being addressed in our Career Pathways Trust Grant with our local High Schools.  "
"The NFN Colleges see great value in collaborating on the creation and alignment of curriculum within the Advanced Manufacturing sector. The colleges will focus their efforts in three pathways, 1) Manufacturing Process Design and Development, 2) Production, and 3) Maintenance, Installation, & Repair (Automation Technician). Through regional coordination, faculty development, marketing, and sharing of resources the participating colleges believe they can achieve greater things as a collaborative than they would going it alone. This proposal builds on work completed under the NFNRC CTE EF project for Advanced Manufacturing, Shasta College IDRC Advance Manufacturing, Prop 39, and other local and regional funding efforts. The NFN Advanced Manufacturing Network will include: 1) the development and alignment of new curriculum in Design Thinking, Digital Fabrication, Workforce Readiness, Entrepreneurship and Maintenance, Installation & Repair, and Automation Technician in stackable certificates; 2) regional faculty professional development, for both college and dual enrollment instructors; 3) regional coordination of course/program scheduling and promotion; and 4) a regional coordination for creating opportunities to deliver instruction via Apprenticeship-Related Technical Instruction, internships, concurrent enrollment, dual enrollment, intersession, compressed schedule, and live virtual will be explored with high school and industry partners. ","Mass customization, globalization and rapid technology advances have required NFN employers to demand workers with more advanced skills such as using software to design three-dimensional parts, developing and testing prototypes, operating and maintaining computerized machinery and tools, and performing complex tasks and calculations to improve manufacturing processes. These jobs also require critical thinking, problem solving, communication, collaboration, creativity, and innovation.  Advanced manufacturing employers are in urgent need of a workforce with all of these skills.  The advanced manufacturing industry is a critical part of a healthy economy.  Manufacturing has a larger multiplier effect than any other major economic activity.  Each $1 spent in manufacturing generates $1.35 in additional economic activity.  On average, one new manufacturing job creates 1.6 additional jobs in local service businesses. Northern California region’s most important asset is its workforce. Having workers who can effectively use current technology and develop and use future technologies will ensure the region remains competitive and supportive of a healthy quality of life. The purpose of this workforce initiative, created by the NFN Advanced Manufacturing Network, is to develop a regional workforce system that creates jobs that support a high performance economy and educates and trains the workforce required by a high performance economy.","More than 90 percent of the region’s employers are small (less than 50 employees) and many can be classified as micro-businesses (1-4 employees).  Manufacturing companies are boutique and niche industries, as mass production is most often shipped out of the country.  Employees must possess a diversified skill set that improves the competitive edge of a business.  This includes strong technical skills, such as CNC, but also related skills including Computer Aided Drafting, Entrepreneurial and Design Thinking, and Project Management.  This proposal meets the needs of the regional labor market by developing courses and preparing the future workforce for current and future advanced manufacturing occupations, and strengthens the competitiveness of companies that are small and micro-sized by providing highly skilled workers with a demonstrated broad and complex portfolio of advanced manufacturing skill sets.","NFN Colleges will be regional advanced manufacturing economic assets, bringing together companies, community colleges and professional organizations to develop the latest manufacturing curricula and training programs.  The NFN Advance Manufacturing Network Initiative will serve regional employers by strengthening the pipeline of skilled workers for hire, and increase availability for incumbent worker training to advance skills through stackable, portable certificates. The NFN Colleges want to ensure that people in the state have the skills necessary to compete and thrive in today’s economic marketplace. They also want to ensure that current and future workers develop the skills necessary to create and use the technology that maintains the region’s competitiveness. The objective is to create a portable, regional endorsement of skill certifications that support systems based on state or national industry skill standards. According to the National School to Work Office, a skill standard specifies the knowledge and competencies required to perform successfully in the workplace. Standards are being developed along a skill continuum ranging from 1) general work readiness skills and 2) core skills or knowledge for an industry to 3) skills common to an occupational cluster, and 4) specific occupational skills. Standards may cover basic and advanced academic competencies, employability competencies, and technical competencies. Development of these standards is tied to efforts to certify students' and workers' skills. The NFN Advance Manufacturing Network Initiative is a long-term regional commitment to develop an excellent, front-line workforce based on the use of skill standards. The NFN Advance Manufacturing Network will ensure that a worker’s skills sanctioned in one region are recognized in all NFN Community Colleges. By recognizing and validating skills regardless of where they are acquired, The NFN Advance Manufacturing Network Initiative fosters lifelong learning critical to the region’s competitiveness and to the employability of the region’s workers.","Improved performance will be accomplished by increased support of: 1) Workforce readiness skills through assessment and soft skill advising coupled with career advising for economic sustainability; 2) Core skills or knowledge for an industry; 3) Skills common to an occupational cluster and; 4) Specific occupational skills. Instructional Standards will cover basic and advanced academic competencies, employability competencies, and technical competencies. Development of these high performance skill standards is tied to efforts to certify students’ and worker’s skills. The programs will issue skill competencies and their support systems will meet the following six critical quality indicators:  1) Industry-Validated Competency Based Standards; 2) Industry-Recognized Credentials; 3) performance Assessment Strategies and Criteria; 4) Continues Stakeholder endorsement and Involvement; 5) A System of Quality Improvement; and 6) Career Development Planning. The NFN Advance Manufacturing Network Initiative will strengthen and support instruction by providing professional development opportunities to community college faculty and their high school teacher partners. Professional development will include workshops and industry externships to maintain currency in technical knowledge and skills, and to strengthen linkages with business and industry partners. The NFN Advance Manufacturing Network Initiative will focus on regional coordination of course/program scheduling and promotion. In addition, the partner community colleges, in coordination with Grow Manufacturing Initiative (GMI) will work to expand and replicate the Manufacturing Expo to other areas within the North/Far North Region.  There is also a commitment to the regional coordination of apprenticeship-related technical instruction, and internships.  Live-virtual instructional opportunities will be explored with high school and industry partners.  The NFN Advance Manufacturing Network Initiative will strengthen the work-based learning experience placement process by partnering with the Foundation for California Community Colleges’ Career Catalyst program (http://foundationccc.org/What-We-Do/Workforce-Development/Workforce-Services).  Finally, the NFN Advance Manufacturing Network Initiative will work in collaboration with the Deputy Sector Navigators in the region to identify employer partners and in placing students in work-based learning experiences. The NFN Advance Manufacturing Network Initiative will work with employers to provide a wage match for securing a project-supported student intern. The Career Catalyst program will conduct post-internship surveys with employers to assess satisfaction on the experience. In partnership with Society for Manufacturing Engineers, facilitate development and expansion of student chapters, industry tours, internships, and externships."
"EVs and hybrids require a unique skill set in the job market. This project will ensure that our automotive labs keep pace with the growing EV market and all students receive instruction on these new vehicle systems. This proposal is to update our region's college automotive labs for instruction on electric vehicle (EV) and hybrid vehicle systems by acquiring one vehicle (plug-in EV or hybrid vehicle) per college per year, along with the necessary scan/diagnostic tools and manufacturer online information subscriptions. The project also funds professional development for faculty to become proficient on these new systems. 
Most of our 9 automotive programs are not currently equipped with electric vehicles. A few have hybrids but they are out-of-date. Over the past year and a half, faculty across the region have collaborated to develop shared course curricula and obtain EV/hybrid professional development. Equipping the labs will be the final step needed to incorporate EV instruction into the curriculum of all our automotive programs. Funding in the amount of $495,500 per year for 2 years (totaling $991,000) is requested for the 9 college programs. ","LMI & SUPPLY: 462 automotive service technicians will be needed each year to fill new positions between 2015 and 2020, totaling 2,310 over the five-year period, according to LMI reports from the Centers of Excellence.  All of these technicians will need specialized skills to work on EV and hybrid vehicles. Yet, of the 9 automotive programs in our region, only 3 are equipped to provide plug-in EV training. Some provide hybrid training on old models. Labs having the necessary equipment to teach the emerging automotive technologies are needed.","LABOR MARKET GAPS: (1) Current 3-year average degree and certificate awards for automotive service technician students in our region total 190 annually (compared to 462 automotive technicians needed annually); (2) most of the students in our automotive programs do not receive the skills they need for EV & hybrid vehicles due to lack of course availability; and (3) most of our programs do not have the necessary equipment - including vehicles, scan, and diagnostic tools - to implement EV & hybrid instruction. Updating the region's automotive labs for EV and hybrid instruction will enable all our programs to provide skill training that increases the competitiveness of our graduates in the labor market.","This proposal is to acquire the vehicles, scan/diagnostic tools, and additional professional development needed by each college to ensure that labs are up-to-date and effective instruction is provided on these modern vehicle systems. By funding this request, students will receive a full set of skills for today's automotive market and help programs convey a positive, high-tech message about automotive careers. Over the next two years, the project will occur in concert with DSN funded activities designed to update the image of automotive occupations and intensify recruitment efforts. Students, parents, and counselors will receive professional materials presenting a high-tech image and essential career pathway information.  Working with feeder high school programs, recruitment events are currently being planned.  More effective recruitment will result in increased enrollment in our programs, followed by higher job placements to fill the regional gap. 
High school teachers have been a part of this collaborative work among faculty. By establishing program connections at the high school level, students will have a clearer pathway to the college programs defined, which will also support college recruiting goals.","Strong Workforce legislation states that future funding will depend on: CTE FTES, job openings, and improvements in workforce metrics beyond the first year.  This project will address all three by increasing FTES through program modernization tied to stronger recruitment, filling job openings by producing higher skilled job-competitive graduates, and preparing students to handle a broader set of responsibilities, resulting in higher wages.
The transportation sector is an important sector for economic growth in our region. Clean transportation was the hottest sector for venture capital investment in California, bringing in $3.4 billion in 2015. Zero emission vehicle registrations increased by 244 percent between 2012 and 2014, driven by a 115 percent increase in all-electric vehicles and a 550 percent increase in plug-in hybrid vehicles. Riverside–San Bernardino–Ontario ranks fifth in the State for the number of clean vehicle rebates, indicating that a large number of EVs are operating in our region. The automotive industry needs highly qualified technicians in larger numbers to continue its economic contribution to our region. This project will help our CTE programs meet that need."
"With the rapid technology shift in Advanced manufacturing and other industries, there is a demand for skilled Mechatronics Technicians.  Generally there are only a few required at each industry site so developing training programs for incumbent workers is a challenge.  There is a need to get a pathway established for entry-level workers as well.  There is need to establish a program to include workers from all sizes of industry to achieve economies of scale to insure we are providing these skills at all levels- entry to advanced, as requested by industry.
There were limited facilities in the region that have the equipment and facilities to provide a full curriculum for Mechatronic Technicians.  
","Aligns with the Mechatronics Technician standards developed by the California Advanced Manufacturing Collaborative.

Develops a regional Learn and Earn program that will include small to large industry partners to meet their needs and establish a succession plan.  It will provide training to entry-level employees in the skills industry needed to seek entry into this field.  This would then be potentially recognized as an industry recognized certificate.
","This proposal is designed to meet the very rapid advancement of mechatronic skills gap in the industry sectors listed.  There have been several industry skill panel convenings in the region.  The need for skilled mechatronic workers is one of the most requested.","It will  increase the enrollment at the regional colleges that are providing credit-based programs in these areas. 
Currently, there are limited or no options for industry to obtain training for their incumbent workers.  Through a regional center, economies of scale can be achieved by bundling training that will allow large and small employers to place employees in the pathway and meet the need for a skilled workforce in these three crafts.  Working with industry, a flexible schedule can be developed and implemented to meet established goals.

Other regional colleges can participate in this pathway and provide some of the instruction required if a regional apprenticeship/Learn & Earn Mechatronic program is started.  See below
                                        
                                       RELATED INSTRUCTION OUTLINE
                                              Mechatronics Technician
                            O*NET-SOC CODE: 49-2094.00 RAPIDS CODE: 2014 A-48
California Advanced Manufacturing Apprenticeship Collaborative (CAMAC) 2016
Related instruction - This instruction may include, but not be limited to:
Note: Due to regional and local code differences and climate conditions, duration of instructional
competencies/modules are suggested estimates.
Communications Courses 96 hours
           (Expository Writing and Into to Communications)
Mathematics 96 hours
        (Algebra/Trigonometry I and II)
Safety 48 hours 
       (Industrial Safety/PPE/First Aid)
Technical Content 336 (minimum)
          (Application Software, DC/AC Circuit Analysis, Electronic Devices, Electrical Machines I and II,
Digital Electronics, Intro to Automation, Robot Programming, Programmable Logic Controllers, Diagrams and Schematics, Intro to Automation, Linear IC Applications) 
Safety is a part of all Instructions
Total 576 hours

This would then be potentially recognized as an industry recognized certificate.

This aligns will with WIOA, and Adult Education's push for industry recognized certificates and apprenticeship programs
","This proposal addresses a priority in multiple industry sectors in the region by allowing industries from various sizes to participate in development of their workforce and obtain training for new and existing workers to meet requirements for the ever changing work environment."
